Country,Continent,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate
Australia,Australia,2020-08-10 06:34:52,-25.0,133.0,21397.0,313.0,12141.0,8943.0,84.04262422573714
Austria,Europe,2020-08-10 06:34:52,47.5162,14.5501,22033.0,721.0,19923.0,1389.0,244.63714691774737
Canada,North America,2020-08-10 06:34:52,60.00100000000001,-95.001,121367.0,9028.0,105420.0,6919.0,320.6042777914936
China,Asia,2020-08-10 06:34:52,30.5928,114.3055,88793.0,4686.0,82125.0,1982.0,6.321242702224505
Denmark,Europe,2020-08-10 06:34:52,56.2639,9.5018,14759.0,617.0,13069.0,1073.0,254.80805835016488
Finland,Europe,2020-08-10 06:34:52,61.9241,25.7482,7584.0,331.0,6980.0,273.0,136.87756713119128
France,Europe,2020-08-10 06:34:52,46.2276,2.2137,235237.0,30327.0,82971.0,121939.0,360.3866144049366
Germany,Europe,2020-08-10 06:34:52,51.165691,10.451526,217288.0,9202.0,196783.0,11303.0,259.34324290888907
Iceland,Europe,2020-08-10 06:34:52,64.9631,-19.0208,1958.0,10.0,1834.0,114.0,573.7728937728938
Ireland,Europe,2020-08-10 06:34:52,53.1424,-7.6921,26712.0,1772.0,23364.0,1576.0,540.970100830411
Italy,Europe,2020-08-10 06:34:52,41.8719,12.5674,250566.0,35205.0,202098.0,13263.0,414.4201528276651
Netherlands,Europe,2020-08-10 06:34:52,52.3167,5.55,59360.0,6178.0,237.0,52945.0,346.4280126266474
Norway,Europe,2020-08-10 06:34:52,60.472,8.4689,9638.0,256.0,8857.0,525.0,177.78213922197162
Russia,Europe,2020-08-10 06:34:52,61.524,105.3188,885718.0,14903.0,692059.0,178756.0,606.9286171340202
Sweden,Europe,2020-08-10 06:34:52,60.1282,18.6435,82323.0,5763.0,,,815.1381238445947
Switzerland,Europe,2020-08-10 06:34:52,46.8182,8.2275,36603.0,1986.0,32300.0,2317.0,422.9302783785489
UK,Europe,2020-08-10 06:34:52,55.0,-3.0,312574.0,46659.0,1451.0,264464.0,460.4395333093991
US,Others,2020-08-10 06:34:52,40.0,-100.0,5044864.0,162938.0,1656864.0,3225062.0,1531.2231509893231
Spain,Europe,2020-08-10 06:34:52,40.463667,-3.74922,314362.0,28503.0,150376.0,135483.0,672.3632959648214
Mexico,North America,2020-08-10 06:34:52,23.6345,-102.5528,480278.0,52298.0,384432.0,43548.0,375.8270667448581
Chile,South America,2020-08-10 06:34:52,-35.6751,-71.543,373056.0,10077.0,345826.0,17153.0,1951.5166422380087
Brazil,South America,2020-08-10 06:34:52,-14.235,-51.9253,3035422.0,101049.0,2356983.0,577390.0,1428.0346441874044
Peru,South America,2020-08-10 06:34:52,-9.19,-75.0152,478024.0,21072.0,324020.0,132932.0,1449.7944701064052
Colombia,South America,2020-08-10 06:34:52,4.5709,-74.2973,387481.0,12842.0,212688.0,161951.0,761.5154046692793
Japan,Asia,2020-08-10 06:34:52,36.204824,138.252924,49000.0,1047.0,32867.0,15086.0,38.74238793119902
Ukraine,Europe,2020-08-10 06:34:52,48.3794,31.1656,83775.0,1950.0,45722.0,36103.0,191.55682455743167
India,Asia,2020-08-10 06:34:52,20.593684,78.96288,2215074.0,44386.0,1535743.0,634945.0,160.51209866264298
Pakistan,Asia,2020-08-10 06:34:52,30.3753,69.3451,284660.0,6097.0,260764.0,17799.0,128.86821317486118
Afghanistan,Asia,2020-08-10 06:34:52,33.93911,67.709953,37054.0,1312.0,25960.0,9782.0,95.18515058219408
Albania,Europe,2020-08-10 06:34:52,41.1533,20.1683,6411.0,199.0,3342.0,2870.0,222.77434151087638
Algeria,Africa,2020-08-10 06:34:52,28.0339,1.6596,35160.0,1302.0,24506.0,9352.0,80.1805329921115
Andorra,Europe,2020-08-10 06:34:52,42.5063,1.5218,955.0,52.0,839.0,64.0,1236.00595353653
Angola,Africa,2020-08-10 06:34:52,-11.2027,17.8739,1672.0,75.0,567.0,1030.0,5.087282803146375
Antigua and Barbuda,North America,2020-08-10 06:34:52,17.0608,-61.7964,92.0,3.0,76.0,13.0,93.94657299240258
Argentina,South America,2020-08-10 06:34:52,-38.4161,-63.6167,246499.0,4606.0,108242.0,133651.0,545.4027264538455
Armenia,Asia,2020-08-10 06:34:52,40.0691,45.0382,40410.0,791.0,32520.0,7099.0,1363.7127543757936
Azerbaijan,Asia,2020-08-10 06:34:52,40.1431,47.5769,33568.0,490.0,30364.0,2714.0,331.0723012473895
Bahamas,North America,2020-08-10 06:34:52,25.025885,-78.035889,898.0,15.0,104.0,779.0,228.3546260883717
Bahrain,Asia,2020-08-10 06:34:52,26.0275,50.55,44011.0,162.0,40967.0,2882.0,2586.473889313657
Bangladesh,Asia,2020-08-10 06:34:52,23.685,90.3563,257600.0,3399.0,148370.0,105831.0,156.4156688837677
Barbados,North America,2020-08-10 06:34:52,13.1939,-59.5432,142.0,7.0,112.0,23.0,49.41347595964798
Belarus,Europe,2020-08-10 06:34:52,53.7098,27.9534,68850.0,587.0,64935.0,3328.0,728.6237815394354
Belgium,Europe,2020-08-10 06:34:52,50.8333,4.469936,74152.0,9872.0,17780.0,46500.0,639.8141232634455
Belize,North America,2020-08-10 06:34:52,17.1899,-88.4976,153.0,2.0,32.0,119.0,38.478852978087176
Benin,Africa,2020-08-10 06:34:52,9.3077,2.3158,1936.0,38.0,1600.0,298.0,15.969383656028715
Bhutan,Asia,2020-08-10 06:34:52,27.5142,90.4336,110.0,0.0,96.0,14.0,14.25586953028206
Bolivia,South America,2020-08-10 06:34:52,-16.2902,-63.5887,89999.0,3640.0,29808.0,56551.0,770.9995409075058
Bosnia and Herzegovina,Europe,2020-08-10 06:34:52,43.9159,17.6791,13687.0,394.0,7373.0,5920.0,417.1829255840393
Botswana,Africa,2020-08-10 06:34:52,-22.3285,24.6849,804.0,2.0,63.0,739.0,34.18912454154042
Brunei,Asia,2020-08-10 06:34:52,4.5353,114.7277,142.0,3.0,138.0,1.0,32.45840409798781
Bulgaria,Europe,2020-08-10 06:34:52,42.7339,25.4858,13396.0,447.0,7772.0,5177.0,192.79133676671543
Burkina Faso,Africa,2020-08-10 06:34:52,12.2383,-1.5616,1175.0,54.0,974.0,147.0,5.621127939837953
Burma,Others,2020-08-10 06:34:52,21.9162,95.956,360.0,6.0,312.0,42.0,0.6616455853517843
Burundi,Africa,2020-08-10 06:34:52,-3.3731,29.9189,408.0,1.0,315.0,92.0,3.4312296223435617
Cabo Verde,Africa,2020-08-10 06:34:52,16.5388,-23.0418,2858.0,32.0,2086.0,740.0,514.0398713641301
Cambodia,Asia,2020-08-10 06:34:52,11.55,104.9167,251.0,0.0,219.0,32.0,1.5012885661444115
Cameroon,Africa,2020-08-10 06:34:52,3.8480000000000003,11.5021,18042.0,395.0,15320.0,2327.0,67.96539001329924
Central African Republic,Africa,2020-08-10 06:34:52,6.6111,20.9394,4641.0,60.0,1721.0,2860.0,96.09165168318785
Chad,Africa,2020-08-10 06:34:52,15.4542,18.7322,944.0,76.0,839.0,29.0,5.747035817122258
Comoros,Africa,2020-08-10 06:34:52,-11.6455,43.3333,399.0,7.0,369.0,23.0,45.883428492574126
Congo (Brazzaville),Others,2020-08-10 06:34:52,-0.228,15.8277,3664.0,58.0,1589.0,2017.0,66.39976281656776
Congo (Kinshasa),Others,2020-08-10 06:34:52,-4.0383,21.7587,9454.0,224.0,8324.0,906.0,10.555886327999056
Costa Rica,North America,2020-08-10 06:34:52,9.7489,-83.7534,23286.0,235.0,7730.0,15321.0,457.1158007064624
Cote d'Ivoire,Others,2020-08-10 06:34:52,7.54,-5.5471,16715.0,105.0,12926.0,3684.0,63.36653932070993
Croatia,Europe,2020-08-10 06:34:52,45.1,15.2,5604.0,157.0,4861.0,586.0,136.50753129880925
Cuba,North America,2020-08-10 06:34:52,21.521757,-77.78116700000002,2953.0,88.0,2451.0,414.0,26.071334986548496
Cyprus,Asia,2020-08-10 06:34:52,35.1264,33.4299,1242.0,19.0,870.0,353.0,102.86898450422035
Czechia,Europe,2020-08-10 06:34:52,49.8175,15.472999999999999,18353.0,390.0,12785.0,5178.0,171.37950180512019
Diamond Princess,Others,2020-08-10 06:34:52,,,712.0,13.0,651.0,48.0,
Djibouti,Africa,2020-08-10 06:34:52,11.8251,42.5903,5344.0,59.0,5106.0,179.0,540.8895933409042
Dominica,North America,2020-08-10 06:34:52,15.415,-61.371,18.0,0.0,18.0,0.0,25.003125390673837
Dominican Republic,North America,2020-08-10 06:34:52,18.7357,-70.1627,79732.0,1309.0,43744.0,34679.0,734.9991297858094
Ecuador,South America,2020-08-10 06:34:52,-1.8312,-78.1834,94459.0,5922.0,78552.0,9985.0,535.3889858108514
Egypt,Africa,2020-08-10 06:34:52,26.820553000000004,30.802497999999996,95492.0,5009.0,52678.0,37805.0,93.31368259411256
El Salvador,North America,2020-08-10 06:34:52,13.7942,-88.8965,20423.0,549.0,9652.0,10222.0,314.868441480614
Equatorial Guinea,Africa,2020-08-10 06:34:52,1.6508,10.2679,4821.0,83.0,2182.0,2556.0,343.6244863630046
Eritrea,Africa,2020-08-10 06:34:52,15.1794,39.7823,285.0,0.0,245.0,40.0,8.03625733731443
Estonia,Europe,2020-08-10 06:34:52,58.5953,25.0136,2152.0,63.0,1961.0,128.0,162.22666653600083
Eswatini,Africa,2020-08-10 06:34:52,-26.5225,31.4659,3236.0,58.0,1607.0,1571.0,278.9260828641468
Ethiopia,Africa,2020-08-10 06:34:52,9.145,40.4897,22818.0,407.0,10206.0,12205.0,19.84802439569059
Fiji,Australia,2020-08-10 06:34:52,-17.7134,178.065,27.0,1.0,18.0,8.0,3.0119003529501005
Gabon,Africa,2020-08-10 06:34:52,-0.8037,11.6094,7923.0,51.0,5704.0,2168.0,355.9734163383845
Gambia,Africa,2020-08-10 06:34:52,13.4432,-15.3101,1235.0,23.0,221.0,991.0,51.103504665936185
Georgia,Asia,2020-08-10 06:34:52,42.3154,43.3569,1250.0,17.0,1010.0,223.0,31.334799801964067
Ghana,Africa,2020-08-10 06:34:52,7.9465,-1.0232,41003.0,215.0,38330.0,2458.0,131.9572380410032
Greece,Europe,2020-08-10 06:34:52,39.0742,21.8243,5623.0,212.0,1347.0,4064.0,53.947709769572384
Grenada,North America,2020-08-10 06:34:52,12.1165,-61.678999999999995,24.0,0.0,23.0,1.0,21.329730978768033
Guatemala,North America,2020-08-10 06:34:52,15.7835,-90.2308,56605.0,2211.0,44598.0,9796.0,315.9542759657007
Guinea,Africa,2020-08-10 06:34:52,9.9456,-9.6966,7930.0,50.0,6898.0,982.0,60.38319955116932
Guinea-Bissau,Africa,2020-08-10 06:34:52,11.8037,-15.1804,2052.0,29.0,944.0,1079.0,104.2683986467466
Guyana,South America,2020-08-10 06:34:52,4.860416000000002,-58.93018000000001,568.0,22.0,189.0,357.0,72.21327325731446
Haiti,North America,2020-08-10 06:34:52,18.9712,-72.2852,7634.0,183.0,4982.0,2469.0,66.95003645242684
Holy See,Others,2020-08-10 06:34:52,41.9029,12.4534,12.0,0.0,12.0,0.0,1483.3127317676144
Honduras,North America,2020-08-10 06:34:52,15.2,-86.2419,47454.0,1495.0,6597.0,39362.0,479.11032925280836
Hungary,Europe,2020-08-10 06:34:52,47.1625,19.5033,4696.0,602.0,3499.0,595.0,48.61107516808397
Indonesia,Asia,2020-08-10 06:34:52,-0.7893,113.9213,125396.0,5723.0,80952.0,38721.0,45.84466948103177
Iran,Asia,2020-08-10 06:34:52,32.427908,53.68804599999999,326712.0,18427.0,284371.0,23914.0,388.97548940802216
Iraq,Asia,2020-08-10 06:34:52,33.223191,43.679291,150115.0,5392.0,107775.0,36948.0,373.2114831342048
Israel,Asia,2020-08-10 06:34:52,31.046051000000002,34.851612,83002.0,600.0,57533.0,24869.0,958.9464136326084
Jamaica,North America,2020-08-10 06:34:52,18.1096,-77.2975,1023.0,14.0,745.0,264.0,34.54726034822153
Jordan,Asia,2020-08-10 06:34:52,31.24,36.51,1252.0,11.0,1187.0,54.0,12.27073234318063
Kazakhstan,Asia,2020-08-10 06:34:52,48.0196,66.9237,99442.0,1058.0,72523.0,25861.0,529.6029809699859
Kenya,Africa,2020-08-10 06:34:52,-0.0236,37.9062,26436.0,420.0,12961.0,13055.0,49.16377323962783
"Korea, South",Others,2020-08-10 06:34:52,35.90775700000001,127.766922,14626.0,305.0,13658.0,663.0,28.527858538334808
Kosovo,Others,2020-08-10 06:34:52,42.602636,20.902977,9869.0,303.0,5480.0,4086.0,545.1383863815383
Kuwait,Asia,2020-08-10 06:34:52,29.311659999999996,47.481766,71713.0,478.0,63519.0,7716.0,1679.2399503297338
Kyrgyzstan,Asia,2020-08-10 06:34:52,41.20438,74.766098,40085.0,1474.0,32126.0,6485.0,614.4056788037014
Laos,Asia,2020-08-10 06:34:52,19.856270000000002,102.495496,20.0,0.0,19.0,1.0,0.27489308033640314
Latvia,Europe,2020-08-10 06:34:52,56.8796,24.6032,1290.0,32.0,1070.0,188.0,68.39140240546877
Lebanon,Asia,2020-08-10 06:34:52,33.8547,35.8623,6517.0,78.0,2127.0,4312.0,95.4809959560128
Lesotho,Africa,2020-08-10 06:34:52,-29.609988,28.233608,742.0,23.0,175.0,544.0,34.636447999581755
Liberia,Africa,2020-08-10 06:34:52,6.4280550000000005,-9.429499,1237.0,79.0,723.0,435.0,24.457868701382075
Libya,Africa,2020-08-10 06:34:52,26.3351,17.228331,5451.0,119.0,701.0,4631.0,79.33011675978604
Liechtenstein,Europe,2020-08-10 06:34:52,47.14,9.55,89.0,1.0,85.0,3.0,233.36916904843062
Lithuania,Europe,2020-08-10 06:34:52,55.1694,23.8813,2252.0,81.0,1670.0,501.0,82.72444055393048
Luxembourg,Europe,2020-08-10 06:34:52,49.8153,6.1296,7205.0,120.0,5848.0,1237.0,1151.002594348665
MS Zaandam,Others,2020-08-10 06:34:52,,,9.0,2.0,,,
Madagascar,Africa,2020-08-10 06:34:52,-18.766947000000002,46.869107,13086.0,148.0,10816.0,2122.0,47.2571991662712
Malawi,Africa,2020-08-10 06:34:52,-13.254307999999998,34.301525,4658.0,146.0,2375.0,2137.0,24.34924703168408
Malaysia,Asia,2020-08-10 06:34:52,4.210483999999999,101.97576600000001,9083.0,125.0,8784.0,174.0,28.06340159818338
Maldives,Asia,2020-08-10 06:34:52,3.2028,73.2207,5041.0,19.0,2804.0,2218.0,932.5824820272984
Mali,Africa,2020-08-10 06:34:52,17.570692,-3.996166000000001,2567.0,125.0,1962.0,480.0,12.676021145598249
Malta,Europe,2020-08-10 06:34:52,35.9375,14.3754,1089.0,9.0,684.0,396.0,246.63732988478932
Mauritania,Africa,2020-08-10 06:34:52,21.0079,-10.9408,6523.0,157.0,5527.0,839.0,140.28982764331155
Mauritius,Africa,2020-08-10 06:34:52,-20.348404000000002,57.552152,344.0,10.0,334.0,0.0,27.048979883893825
Moldova,Europe,2020-08-10 06:34:52,47.4116,28.3699,27660.0,845.0,19300.0,7515.0,685.6780788519875
Monaco,Europe,2020-08-10 06:34:52,43.7333,7.4167,133.0,4.0,113.0,16.0,338.9053103659158
Mongolia,Asia,2020-08-10 06:34:52,46.8625,103.8467,293.0,0.0,263.0,30.0,8.937580911035381
Montenegro,Europe,2020-08-10 06:34:52,42.708678000000006,19.37439,3618.0,64.0,2452.0,1102.0,576.0577777353192
Morocco,Africa,2020-08-10 06:34:52,31.7917,-7.0926,33237.0,498.0,23347.0,9392.0,90.04740594818426
Mozambique,Africa,2020-08-10 06:34:52,-18.665695,35.529562,2269.0,16.0,840.0,1413.0,7.2595374212516965
Namibia,Africa,2020-08-10 06:34:52,-22.9576,18.4904,2949.0,19.0,704.0,2226.0,116.06050731311069
Nepal,Asia,2020-08-10 06:34:52,28.1667,84.25,22972.0,75.0,16353.0,6544.0,78.84185529176703
New Zealand,Australia,2020-08-10 06:34:52,-40.9006,174.886,1569.0,22.0,1526.0,21.0,32.536793638963516
Nicaragua,North America,2020-08-10 06:34:52,12.865416,-85.207229,3902.0,123.0,2913.0,866.0,58.90207853992889
Niger,Africa,2020-08-10 06:34:52,17.607789,8.081666,1158.0,69.0,1057.0,32.0,4.783812174479758
Nigeria,Africa,2020-08-10 06:34:52,9.082,8.6753,46577.0,945.0,33186.0,12446.0,22.59488372798573
North Macedonia,Europe,2020-08-10 06:34:52,41.6086,21.7453,11839.0,527.0,7664.0,3648.0,568.2592709923297
Oman,Asia,2020-08-10 06:34:52,21.512583,55.92325500000001,81580.0,513.0,74691.0,6376.0,1597.5335554501587
Panama,North America,2020-08-10 06:34:52,8.538,-80.7821,74492.0,1639.0,48748.0,24105.0,1726.4427658682926
Papua New Guinea,Australia,2020-08-10 06:34:52,-6.314993,143.95555,214.0,3.0,53.0,158.0,2.3918559762924603
Paraguay,South America,2020-08-10 06:34:52,-23.4425,-58.4438,6907.0,75.0,5222.0,1610.0,96.83800839253391
Philippines,Asia,2020-08-10 06:34:52,12.879721,121.77401699999999,129913.0,2270.0,67673.0,59970.0,118.55421946223656
Poland,Europe,2020-08-10 06:34:52,51.9194,19.1451,51791.0,1807.0,36691.0,13293.0,136.84450692472944
Portugal,Europe,2020-08-10 06:34:52,39.3999,-8.2245,52668.0,1756.0,38511.0,12401.0,516.5196960155862
Qatar,Asia,2020-08-10 06:34:52,25.3548,51.1839,112947.0,184.0,109709.0,3054.0,3920.3279348573096
Romania,Europe,2020-08-10 06:34:52,45.9432,24.9668,61768.0,2700.0,30119.0,28949.0,321.078183951684
Rwanda,Africa,2020-08-10 06:34:52,-1.9403,29.8739,2140.0,7.0,1346.0,787.0,16.52227816892084
Saint Kitts and Nevis,North America,2020-08-10 06:34:52,17.357822,-62.782998,17.0,0.0,16.0,1.0,31.959693186945405
Saint Lucia,North America,2020-08-10 06:34:52,13.9094,-60.9789,25.0,0.0,24.0,1.0,13.614407310392151
Saint Vincent and the Grenadines,North America,2020-08-10 06:34:52,12.9843,-61.2872,57.0,0.0,52.0,5.0,51.37588217797686
San Marino,Europe,2020-08-10 06:34:52,43.9424,12.4578,699.0,42.0,657.0,0.0,2059.6381637102954
Sao Tome and Principe,Africa,2020-08-10 06:34:52,0.18636,6.613081,878.0,15.0,800.0,63.0,400.6187232217411
Saudi Arabia,Asia,2020-08-10 06:34:52,23.885942,45.079162,288690.0,3167.0,252039.0,33484.0,829.2385330247857
Senegal,Africa,2020-08-10 06:34:52,14.4974,-14.4524,11175.0,232.0,7352.0,3591.0,66.74060390840144
Serbia,Europe,2020-08-10 06:34:52,44.0165,21.0059,28099.0,641.0,,,321.5956288906158
Seychelles,Africa,2020-08-10 06:34:52,-4.6796,55.492,126.0,0.0,125.0,1.0,128.1269066503966
Sierra Leone,Africa,2020-08-10 06:34:52,8.460555000000001,-11.779889,1916.0,68.0,1445.0,403.0,24.019099948163372
Singapore,Asia,2020-08-10 06:34:52,1.2833,103.8333,55104.0,27.0,48915.0,6162.0,941.8934923986508
Slovakia,Europe,2020-08-10 06:34:52,48.669,19.699,2596.0,31.0,1864.0,701.0,47.54889651209795
Slovenia,Europe,2020-08-10 06:34:52,46.1512,14.9955,2249.0,127.0,1927.0,195.0,108.18054654986312
Somalia,Africa,2020-08-10 06:34:52,5.152149,46.199616,3227.0,93.0,1728.0,1406.0,20.304256802854102
South Africa,Africa,2020-08-10 06:34:52,-30.5595,22.9375,559859.0,10408.0,411474.0,137977.0,943.9746519439226
South Sudan,Africa,2020-08-10 06:34:52,6.8770000000000024,31.307,2470.0,47.0,1175.0,1248.0,22.065926377170648
Sri Lanka,Asia,2020-08-10 06:34:52,7.873054,80.77179699999998,2844.0,11.0,2579.0,254.0,13.28149626983293
Sudan,Africa,2020-08-10 06:34:52,12.8628,30.2176,11956.0,781.0,6266.0,4909.0,27.26613298844275
Suriname,South America,2020-08-10 06:34:52,3.9193,-56.0278,2391.0,29.0,1635.0,727.0,407.5795129501529
Syria,Asia,2020-08-10 06:34:52,34.802075,38.99681500000001,1188.0,52.0,346.0,790.0,6.788316575771984
Taiwan*,Others,2020-08-10 06:34:52,23.7,121.0,477.0,7.0,441.0,29.0,2.002790050290184
Tajikistan,Asia,2020-08-10 06:34:52,38.861034000000004,71.276093,7745.0,62.0,6484.0,1199.0,81.20455768836784
Tanzania,Africa,2020-08-10 06:34:52,-6.369028,34.888822,509.0,21.0,183.0,305.0,0.852107987092757
Thailand,Asia,2020-08-10 06:34:52,15.870032,100.992541,3351.0,58.0,3160.0,133.0,4.800861112019262
Timor-Leste,Others,2020-08-10 06:34:52,-8.874217,125.727539,25.0,0.0,24.0,1.0,1.896177457938992
Togo,Africa,2020-08-10 06:34:52,8.6195,0.8248,1060.0,23.0,729.0,308.0,12.803885423585749
Trinidad and Tobago,North America,2020-08-10 06:34:52,10.6918,-61.2225,279.0,8.0,135.0,136.0,19.93581952295513
Tunisia,Africa,2020-08-10 06:34:52,33.886917,9.537499,1697.0,51.0,1263.0,383.0,14.358700822718866
Turkey,Asia,2020-08-10 06:34:52,38.9637,35.2433,240804.0,5844.0,223759.0,11201.0,285.51892801944325
Uganda,Africa,2020-08-10 06:34:52,1.373333,32.290275,1283.0,7.0,1115.0,161.0,2.8049233729039598
United Arab Emirates,Asia,2020-08-10 06:34:52,23.424076,53.847818000000004,62525.0,357.0,56568.0,5600.0,632.178678314325
Uruguay,South America,2020-08-10 06:34:52,-32.5228,-55.7658,1353.0,37.0,1125.0,191.0,38.94952021272829
Uzbekistan,Asia,2020-08-10 06:34:52,41.377491,64.585262,30820.0,196.0,22042.0,8582.0,92.08466566528826
Venezuela,South America,2020-08-10 06:34:52,6.4238,-66.5897,25805.0,223.0,13356.0,12226.0,90.74782573590049
Vietnam,Asia,2020-08-10 06:34:52,14.058323999999999,108.277199,841.0,13.0,399.0,429.0,0.8639944964064251
West Bank and Gaza,Others,2020-08-10 06:34:52,31.9522,35.2332,14208.0,97.0,7945.0,6166.0,278.5109075597834
Western Sahara,Others,2020-08-10 06:34:52,24.2155,-12.8858,10.0,1.0,8.0,1.0,1.674116485025028
Yemen,Asia,2020-08-10 06:34:52,15.552726999999999,48.516388,1804.0,515.0,913.0,376.0,6.048420624604707
Zambia,Africa,2020-08-10 06:34:52,-13.133897,27.849332,8085.0,235.0,6698.0,1152.0,43.9785647876877
Zimbabwe,Africa,2020-08-10 06:34:52,-19.015438,29.154857,4649.0,104.0,1437.0,3108.0,31.279168632127444
